movieTitle,movieIMDbLink,gross,budget,profit,ROI,actor
Take Shelter,http://www.imdb.com/title/tt1675192/?ref_=fn_tt_tt_1,1729969,5000000,-3270031,-65.40062,Katy Mixon
Lady in White,http://www.imdb.com/title/tt0095484/?ref_=fn_tt_tt_1,1705139,4700000,-2994861,-63.72044680851063,Alex Rocco
The Texas Chainsaw Massacre 2,http://www.imdb.com/title/tt0092076/?ref_=fn_tt_tt_1,8025872,4700000,3325872,70.7632340425532,Bill Johnson
Only God Forgives,http://www.imdb.com/title/tt1602613/?ref_=fn_tt_tt_1,778565,4800000,-4021435,-83.77989583333333,Ryan Gosling
The Names of Love,http://www.imdb.com/title/tt1646974/?ref_=fn_tt_tt_1,513836,4600000,-4086164,-88.82965217391305,Sara Forestier
Savage Grace,http://www.imdb.com/title/tt0379976/?ref_=fn_tt_tt_1,434417,4600000,-4165583,-90.55615217391303,Eddie Redmayne
Police Academy,http://www.imdb.com/title/tt0087928/?ref_=fn_tt_tt_1,81200000,4500000,76700000,1704.4444444444443,Steve Guttenberg
Four Weddings and a Funeral,http://www.imdb.com/title/tt0109831/?ref_=fn_tt_tt_1,52700832,4500000,48200832,1071.1296,Kristin Scott Thomas
25th Hour,http://www.imdb.com/title/tt0307901/?ref_=fn_tt_tt_1,13060843,15000000,-1939157,-12.927713333333331,Philip Seymour Hoffman
Bound,http://www.imdb.com/title/tt0115736/?ref_=fn_tt_tt_1,3798532,4500000,-701468,-15.588177777777778,Christopher Meloni
Requiem for a Dream,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,3609278,4500000,-890722,-19.79382222222222,Ellen Burstyn
Tango,http://www.imdb.com/title/tt0120274/?ref_=fn_tt_tt_1,1687311,700000000,-698312689,-99.75895557142857,MÃŒ_a Maestro
Moms' Night Out,http://www.imdb.com/title/tt3014666/?ref_=fn_tt_tt_1,10429707,5000000,5429707,108.59414000000001,Alex Kendrick
Donnie Darko,http://www.imdb.com/title/tt0246578/?ref_=fn_tt_tt_1,727883,4500000,-3772117,-83.82482222222222,Jake Gyllenhaal
Character,http://www.imdb.com/title/tt0119448/?ref_=fn_tt_tt_1,713413,4500000,-3786587,-84.14637777777779,Jan Decleir
Spun,http://www.imdb.com/title/tt0283003/?ref_=fn_tt_tt_1,410241,2000000,-1589759,-79.48795,Patrick Fugit
Mean Machine,http://www.imdb.com/title/tt0291341/?ref_=fn_tt_tt_1,92191,2500000,-2407809,-96.31236,Jason Statham
Exiled,http://www.imdb.com/title/tt0796212/?ref_=fn_tt_tt_1,49413,35000000,-34950587,-99.85882000000001,Simon Yam
After.Life,http://www.imdb.com/title/tt0838247/?ref_=fn_tt_tt_1,108229,4500000,-4391771,-97.59491111111112,Liam Neeson
One Flew Over the Cuckoo's Nest,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1,112000000,4400000,107600000,2445.4545454545455,Scatman Crothers
Falcon Rising,http://www.imdb.com/title/tt2295722/?ref_=fn_tt_tt_1,8691,4500000,-4491309,-99.80686666666668,Michael Jai White
The Sweeney,http://www.imdb.com/title/tt0857190/?ref_=fn_tt_tt_1,26345,3000000,-2973655,-99.12183333333333,Hayley Atwell
Whale Rider,http://www.imdb.com/title/tt0298228/?ref_=fn_tt_tt_1,20772796,6000000,14772796,246.21326666666667,Keisha Castle-Hughes
Paa,http://www.imdb.com/title/tt1532957/?ref_=fn_tt_tt_1,199228,150000000,-149800772,-99.86718133333333,Vidya Balan
Pan,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,34964818,150000000,-115035182,-76.69012133333334,Hugh Jackman
Night Watch,http://www.imdb.com/title/tt0403358/?ref_=fn_tt_tt_1,1487477,4200000,-2712523,-64.58388095238095,Konstantin Khabenskiy
The Crying Game,http://www.imdb.com/title/tt0104036/?ref_=fn_tt_tt_1,62549000,2300000,60249000,2619.5217391304345,Jim Broadbent
Porky's,http://www.imdb.com/title/tt0084522/?ref_=fn_tt_tt_1,105500000,4000000,101500000,2537.5,Art Hindle
Survival of the Dead,http://www.imdb.com/title/tt1134854/?ref_=fn_tt_tt_1,101055,4000000,-3898945,-97.473625,Julian Richings
Lost in Translation,http://www.imdb.com/title/tt0335266/?ref_=fn_tt_tt_1,44566004,4000000,40566004,1014.1501,Scarlett Johansson
Annie Hall,http://www.imdb.com/title/tt0075686/?ref_=fn_tt_tt_1,39200000,4000000,35200000,880.0000000000001,Woody Allen
The Greatest Show on Earth,http://www.imdb.com/title/tt0044672/?ref_=fn_tt_tt_1,36000000,4000000,32000000,800,Gloria Grahame
Exodus: Gods and Kings,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,65007045,140000000,-74992955,-53.56639642857143,Christian Bale
Monster's Ball,http://www.imdb.com/title/tt0285742/?ref_=fn_tt_tt_1,31252964,4000000,27252964,681.3240999999999,Heath Ledger
Maggie,http://www.imdb.com/title/tt1881002/?ref_=fn_tt_tt_1,131175,8500000,-8368825,-98.45676470588235,Joely Richardson
Leaving Las Vegas,http://www.imdb.com/title/tt0113627/?ref_=fn_tt_tt_1,31968347,3600000,28368347,788.009638888889,Nicolas Cage
The Boy Next Door,http://www.imdb.com/title/tt3181822/?ref_=fn_tt_tt_1,35385560,4000000,31385560,784.639,Ryan Guzman
The Kids Are All Right,http://www.imdb.com/title/tt0842926/?ref_=fn_tt_tt_1,20803237,3500000,17303237,494.3782,Josh Hutcherson
They Live,http://www.imdb.com/title/tt0096256/?ref_=fn_tt_tt_1,13008928,4000000,9008928,225.2232,Meg Foster
The Last Exorcism Part II,http://www.imdb.com/title/tt2034139/?ref_=fn_tt_tt_1,15152879,5000000,10152879,203.05757999999997,Muse Watson
Boyhood,http://www.imdb.com/title/tt1065073/?ref_=fn_tt_tt_1,25359200,4000000,21359200,533.98,Ellar Coltrane
Scoop,http://www.imdb.com/title/tt0457513/?ref_=fn_tt_tt_1,10515579,4000000,6515579,162.889475,Scarlett Johansson
Planet of the Apes,http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1,180011740,100000000,80011740,80.01174,Cary-Hiroyuki Tagawa
The Wash,http://www.imdb.com/title/tt0290332/?ref_=fn_tt_tt_1,10097096,4000000,6097096,152.42739999999998,Angell Conwell
3 Strikes,http://www.imdb.com/title/tt0199290/?ref_=fn_tt_tt_1,9821335,6000000,3821335,63.688916666666664,Mo'Nique
The Cooler,http://www.imdb.com/title/tt0318374/?ref_=fn_tt_tt_1,8243880,3200000,5043880,157.62125,Estella Warren
The Night Listener,http://www.imdb.com/title/tt0448075/?ref_=fn_tt_tt_1,7825820,4000000,3825820,95.6455,Robin Williams
My Soul to Take,http://www.imdb.com/title/tt0872230/?ref_=fn_tt_tt_1,14637490,25000000,-10362510,-41.45004,Frank Grillo
The Orphanage,http://www.imdb.com/title/tt0464141/?ref_=fn_tt_tt_1,7159147,3400000,3759147,110.56314705882353,Geraldine Chaplin
A Haunted House 2,http://www.imdb.com/title/tt2828996/?ref_=fn_tt_tt_1,17314483,4000000,13314483,332.862075,Ashley Rickards
The Rules of Attraction,http://www.imdb.com/title/tt0292644/?ref_=fn_tt_tt_1,6525762,4000000,2525762,63.14404999999999,Ian Somerhalder
Four Rooms,http://www.imdb.com/title/tt0113101/?ref_=fn_tt_tt_1,4301331,4000000,301331,7.533275000000001,Salma Hayek
Secretary,http://www.imdb.com/title/tt0274812/?ref_=fn_tt_tt_1,4046737,4000000,46737,1.168425,Jeremy Davies
The Real Cancun,http://www.imdb.com/title/tt0360916/?ref_=fn_tt_tt_1,3713002,8000000,-4286998,-53.587475,Laura Ramsey
Talk Radio,http://www.imdb.com/title/tt0096219/?ref_=fn_tt_tt_1,3468572,4000000,-531428,-13.2857,Michael Wincott
Waiting for Guffman,http://www.imdb.com/title/tt0118111/?ref_=fn_tt_tt_1,2892582,4000000,-1107418,-27.68545,Catherine O'Hara
Love Stinks,http://www.imdb.com/title/tt0188863/?ref_=fn_tt_tt_1,2800000,4000000,-1200000,-30,Ivana Milicevic
You Kill Me,http://www.imdb.com/title/tt0796375/?ref_=fn_tt_tt_1,2426851,4000000,-1573149,-39.328725,Philip Baker Hall
Thumbsucker,http://www.imdb.com/title/tt0318761/?ref_=fn_tt_tt_1,1325073,4000000,-2674927,-66.87317499999999,Kelli Garner
Mirrormask,http://www.imdb.com/title/tt0366780/?ref_=fn_tt_tt_1,864959,4000000,-3135041,-78.376025,Stephanie Leonidas
Samsara,http://www.imdb.com/title/tt0770802/?ref_=fn_tt_tt_1,2601847,4000000,-1398153,-34.953825,Collin Alfredo St. Dic
The Barbarians,http://www.imdb.com/title/tt0092615/?ref_=fn_tt_tt_1,800000,4000000,-3200000,-80,Michael Berryman
Poolhall Junkies,http://www.imdb.com/title/tt0273982/?ref_=fn_tt_tt_1,562059,4000000,-3437941,-85.948525,Chazz Palminteri
The Loss of Sexual Innocence,http://www.imdb.com/title/tt0126859/?ref_=fn_tt_tt_1,399793,4000000,-3600207,-90.00517500000001,Kelly Macdonald
Joe,http://www.imdb.com/title/tt2382396/?ref_=fn_tt_tt_1,371897,4000000,-3628103,-90.702575,Nicolas Cage
Shooting Fish,http://www.imdb.com/title/tt0120122/?ref_=fn_tt_tt_1,302204,3000000,-2697796,-89.92653333333334,Peter McNamara
Prison,http://www.imdb.com/title/tt0095904/?ref_=fn_tt_tt_1,354704,1300000,-945296,-72.71507692307692,Viggo Mortensen
Psycho Beach Party,http://www.imdb.com/title/tt0206226/?ref_=fn_tt_tt_1,265107,1500000,-1234893,-82.3262,Lauren Ambrose
The Big Tease,http://www.imdb.com/title/tt0156639/?ref_=fn_tt_tt_1,185577,4000000,-3814423,-95.360575,Craig Ferguson
"Buen DÃŒ_a, RamÃŒ_n",http://www.imdb.com/title/tt2876428/?ref_=fn_tt_tt_1,100412,4000000,-3899588,-97.4897,Hector Kotsifakis
Trust,http://www.imdb.com/title/tt1529572/?ref_=fn_tt_tt_1,58214,9500000,-9441786,-99.38722105263157,Noah Emmerich
An Everlasting Piece,http://www.imdb.com/title/tt0218182/?ref_=fn_tt_tt_1,75078,14000000,-13924922,-99.46372857142856,Anna Friel
Among Giants,http://www.imdb.com/title/tt0122906/?ref_=fn_tt_tt_1,64359,2500000,-2435641,-97.42564,Rachel Griffiths
Adore,http://www.imdb.com/title/tt2103267/?ref_=fn_tt_tt_1,317125,16000000,-15682875,-98.01796875,Robin Wright
Mondays in the Sun,http://www.imdb.com/title/tt0319769/?ref_=fn_tt_tt_1,146402,4000000,-3853598,-96.33995,Luis Tosar
Stake Land,http://www.imdb.com/title/tt1464580/?ref_=fn_tt_tt_1,18469,650000,-631531,-97.15861538461539,Connor Paolo
The Last Time I Committed Suicide,http://www.imdb.com/title/tt0119502/?ref_=fn_tt_tt_1,12836,4000000,-3987164,-99.6791,Keanu Reeves
Futuro Beach,http://www.imdb.com/title/tt2199543/?ref_=fn_tt_tt_1,20262,4000000,-3979738,-99.49345000000001,Wagner Moura
Inescapable,http://www.imdb.com/title/tt1844203/?ref_=fn_tt_tt_1,4063,4000000,-3995937,-99.898425,Saad Siddiqui
Gone with the Wind,http://www.imdb.com/title/tt0031381/?ref_=fn_tt_tt_1,198655278,3977000,194678278,4895.103796831782,Hattie McDaniel
Desert Dancer,http://www.imdb.com/title/tt2403393/?ref_=fn_tt_tt_1,143653,4000000,-3856347,-96.408675,Tom Cullen
Major Dundee,http://www.imdb.com/title/tt0059418/?ref_=fn_tt_tt_1,14873,3800000,-3785127,-99.60860526315788,James Coburn
Annie Get Your Gun,http://www.imdb.com/title/tt0042200/?ref_=fn_tt_tt_1,8000000,3768785,4231215,112.27000213596689,Keenan Wynn
Defendor,http://www.imdb.com/title/tt1303828/?ref_=fn_tt_tt_1,37606,3500000,-3462394,-98.92554285714286,Michael Kelly
The Pirate,http://www.imdb.com/title/tt0040694/?ref_=fn_tt_tt_1,2956000,3700000,-744000,-20.10810810810811,Gladys Cooper
The Good Heart,http://www.imdb.com/title/tt0808285/?ref_=fn_tt_tt_1,19959,3800000,-3780041,-99.47476315789474,Alice Olivia Clarke
The History Boys,http://www.imdb.com/title/tt0464049/?ref_=fn_tt_tt_1,2706659,2000000,706659,35.332950000000004,Dominic Cooper
Unknown,http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1,61094903,30000000,31094903,103.64967666666666,Liam Neeson
The Full Monty,http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1,45857453,3500000,42357453,1210.212942857143,Tom Wilkinson
Airplane!,http://www.imdb.com/title/tt0080339/?ref_=fn_tt_tt_1,83400000,3500000,79900000,2282.857142857143,Peter Graves
Friday,http://www.imdb.com/title/tt0113118/?ref_=fn_tt_tt_1,27900000,3500000,24400000,697.1428571428571,Nia Long
Menace II Society,http://www.imdb.com/title/tt0107554/?ref_=fn_tt_tt_1,27900000,3500000,24400000,697.1428571428571,Jada Pinkett Smith
Creepshow 2,http://www.imdb.com/title/tt0092796/?ref_=fn_tt_tt_1,14000000,3500000,10500000,300,George Kennedy
The Witch,http://www.imdb.com/title/tt4263482/?ref_=fn_tt_tt_1,25138292,3500000,21638292,618.2369142857143,Julian Richings
I Got the Hook Up,http://www.imdb.com/title/tt0131436/?ref_=fn_tt_tt_1,10305534,3500000,6805534,194.44382857142855,Joe Estevez
She's the One,http://www.imdb.com/title/tt0117628/?ref_=fn_tt_tt_1,9449219,3500000,5949219,169.9776857142857,John Mahoney
Gods and Monsters,http://www.imdb.com/title/tt0120684/?ref_=fn_tt_tt_1,6390032,3500000,2890032,82.57234285714286,Brendan Fraser
The Secret in Their Eyes,http://www.imdb.com/title/tt1305806/?ref_=fn_tt_tt_1,20167424,2000000,18167424,908.3712,Ricardo DarÃŒ_n
Evil Dead II,http://www.imdb.com/title/tt0092991/?ref_=fn_tt_tt_1,5923044,3600000,2323044,64.529,Ted Raimi
Pootie Tang,http://www.imdb.com/title/tt0258038/?ref_=fn_tt_tt_1,3293258,3000000,293258,9.775266666666667,Wanda Sykes
La otra conquista,http://www.imdb.com/title/tt0175996/?ref_=fn_tt_tt_1,886410,3500000,-2613590,-74.67399999999999,Elpidia Carrillo
Trollhunter,http://www.imdb.com/title/tt1740707/?ref_=fn_tt_tt_1,252652,19900000,-19647348,-98.730391959799,Otto Jespersen
Ira & Abby,http://www.imdb.com/title/tt0480251/?ref_=fn_tt_tt_1,220234,3500000,-3279766,-93.7076,Frances Conroy
The Watch,http://www.imdb.com/title/tt1298649/?ref_=fn_tt_tt_1,34350553,68000000,-33649447,-49.48448088235294,Will Forte
Winter Passing,http://www.imdb.com/title/tt0380817/?ref_=fn_tt_tt_1,101228,3500000,-3398772,-97.10777142857143,Zooey Deschanel
D.E.B.S.,http://www.imdb.com/title/tt0367631/?ref_=fn_tt_tt_1,96793,3500000,-3403207,-97.23448571428571,Jordana Brewster
The Masked Saint,http://www.imdb.com/title/tt3103166/?ref_=fn_tt_tt_1,123777,3500000,-3376223,-96.46351428571428,Diahann Carroll
Time to Choose,http://www.imdb.com/title/tt5001130/?ref_=fn_tt_tt_1,29233,3500000,-3470767,-99.16477142857143,Jane Goodall
March of the Penguins,http://www.imdb.com/title/tt0428803/?ref_=fn_tt_tt_1,77413017,8000000,69413017,867.6627125,Morgan Freeman
Margin Call,http://www.imdb.com/title/tt1615147/?ref_=fn_tt_tt_1,5354039,3500000,1854039,52.972542857142855,Kevin Spacey
Choke,http://www.imdb.com/title/tt1024715/?ref_=fn_tt_tt_1,2926565,3000000,-73435,-2.4478333333333335,Anjelica Huston
Whiplash,http://www.imdb.com/title/tt2582802/?ref_=fn_tt_tt_1,13092000,3300000,9792000,296.72727272727275,J.K. Simmons
City of God,http://www.imdb.com/title/tt0317248/?ref_=fn_tt_tt_1,7563397,3300000,4263397,129.1938484848485,Alice Braga
Human Traffic,http://www.imdb.com/title/tt0188674/?ref_=fn_tt_tt_1,104257,2200000,-2095743,-95.26104545454545,Danny Dyer
The Hunt,http://www.imdb.com/title/tt2106476/?ref_=fn_tt_tt_1,610968,3800000,-3189032,-83.9218947368421,Thomas Bo Larsen
Bella,http://www.imdb.com/title/tt0482463/?ref_=fn_tt_tt_1,8108247,3300000,4808247,145.70445454545455,Armando Riesco
Dreaming of Joseph Lees,http://www.imdb.com/title/tt0144178/?ref_=fn_tt_tt_1,7680,2000000,-1992320,-99.616,Samantha Morton
Maria Full of Grace,http://www.imdb.com/title/tt0390221/?ref_=fn_tt_tt_1,6517198,3000000,3517198,117.23993333333334,Catalina Sandino Moreno
Beginners,http://www.imdb.com/title/tt1532503/?ref_=fn_tt_tt_1,5776314,3200000,2576314,80.5098125,Goran Visnjic
Animal House,http://www.imdb.com/title/tt0077975/?ref_=fn_tt_tt_1,141600000,3000000,138600000,4620,John Belushi
Goldfinger,http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1,51100000,3000000,48100000,1603.3333333333335,Honor Blackman
Trainspotting,http://www.imdb.com/title/tt0117951/?ref_=fn_tt_tt_1,16501785,3500000,13001785,371.47957142857143,Kelly Macdonald
The Original Kings of Comedy,http://www.imdb.com/title/tt0236388/?ref_=fn_tt_tt_1,38168022,3000000,35168022,1172.2674,Bernie Mac
Paranormal Activity 2,http://www.imdb.com/title/tt1536044/?ref_=fn_tt_tt_1,84749884,3000000,81749884,2724.9961333333335,Sprague Grayden
Waking Ned Devine,http://www.imdb.com/title/tt0166396/?ref_=fn_tt_tt_1,24788807,3000000,21788807,726.2935666666666,James Nesbitt
Bowling for Columbine,http://www.imdb.com/title/tt0310793/?ref_=fn_tt_tt_1,21244913,4000000,17244913,431.12282500000003,Michael Moore
A Nightmare on Elm Street 2: Freddy's Revenge,http://www.imdb.com/title/tt0089686/?ref_=fn_tt_tt_1,30000000,2200000,27800000,1263.6363636363637,Clu Gulager
A Room with a View,http://www.imdb.com/title/tt0091867/?ref_=fn_tt_tt_1,20966644,3000000,17966644,598.8881333333334,Julian Sands
The Purge,http://www.imdb.com/title/tt2184339/?ref_=fn_tt_tt_1,64423650,3000000,61423650,2047.4550000000002,Rhys Wakefield
Sinister,http://www.imdb.com/title/tt1922777/?ref_=fn_tt_tt_1,48056940,3000000,45056940,1501.8980000000001,Danielle Kotch
Martin Lawrence Live: Runteldat,http://www.imdb.com/title/tt0327036/?ref_=fn_tt_tt_1,19184015,3000000,16184015,539.4671666666667,Nancy O'Dell
Air Bud,http://www.imdb.com/title/tt0118570/?ref_=fn_tt_tt_1,24629916,3000000,21629916,720.9971999999999,Kevin Zegers
Jason Lives: Friday the 13th Part VI,http://www.imdb.com/title/tt0091080/?ref_=fn_tt_tt_1,19472057,3000000,16472057,549.0685666666667,Tony Goldwyn
The Bridge on the River Kwai,http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1,27200000,3000000,24200000,806.6666666666666,William Holden
Spaced Invaders,http://www.imdb.com/title/tt0100666/?ref_=fn_tt_tt_1,15369573,3000000,12369573,412.31910000000005,Ariana Richards
Jason Goes to Hell: The Final Friday,http://www.imdb.com/title/tt0107254/?ref_=fn_tt_tt_1,15935068,2500000,13435068,537.4027199999999,Kane Hodder
Dave Chappelle's Block Party,http://www.imdb.com/title/tt0425598/?ref_=fn_tt_tt_1,11694528,3000000,8694528,289.81759999999997,Common
Next Day Air,http://www.imdb.com/title/tt1097013/?ref_=fn_tt_tt_1,10017041,3000000,7017041,233.9013666666667,Omari Hardwick
Phat Girlz,http://www.imdb.com/title/tt0490196/?ref_=fn_tt_tt_1,7059537,3000000,4059537,135.31789999999998,Mo'Nique
Before Midnight,http://www.imdb.com/title/tt2209418/?ref_=fn_tt_tt_1,8114507,3000000,5114507,170.48356666666666,Seamus Davey-Fitzpatrick
Teen Wolf Too,http://www.imdb.com/title/tt0094118/?ref_=fn_tt_tt_1,7888703,3000000,4888703,162.95676666666668,John Astin
Phantasm II,http://www.imdb.com/title/tt0095863/?ref_=fn_tt_tt_1,7282851,3000000,4282851,142.7617,Angus Scrimm
Real Women Have Curves,http://www.imdb.com/title/tt0296166/?ref_=fn_tt_tt_1,5844929,3000000,2844929,94.83096666666667,America Ferrera
East Is East,http://www.imdb.com/title/tt0166175/?ref_=fn_tt_tt_1,4170647,1900000,2270647,119.50773684210527,Archie Panjabi
Whipped,http://www.imdb.com/title/tt0174336/?ref_=fn_tt_tt_1,4142507,3000000,1142507,38.08356666666667,Callie Thorne
Kama Sutra: A Tale of Love,http://www.imdb.com/title/tt0116743/?ref_=fn_tt_tt_1,4109095,3000000,1109095,36.969833333333334,Indira Varma
Warlock: The Armageddon,http://www.imdb.com/title/tt0108517/?ref_=fn_tt_tt_1,3902679,3000000,902679,30.0893,Julian Sands
8 Heads in a Duffel Bag,http://www.imdb.com/title/tt0118541/?ref_=fn_tt_tt_1,3559990,3000000,559990,18.66633333333333,Kristy Swanson
Thirteen Conversations About One Thing,http://www.imdb.com/title/tt0268690/?ref_=fn_tt_tt_1,3287435,4500000,-1212565,-26.94588888888889,Matthew McConaughey
Jawbreaker,http://www.imdb.com/title/tt0155776/?ref_=fn_tt_tt_1,3071947,3500000,-428053,-12.230085714285714,Julie Benz
Basquiat,http://www.imdb.com/title/tt0115632/?ref_=fn_tt_tt_1,2961991,3300000,-338009,-10.24269696969697,Gary Oldman
Tsotsi,http://www.imdb.com/title/tt0468565/?ref_=fn_tt_tt_1,2912363,3000000,-87637,-2.9212333333333333,Terry Pheto
Happiness,http://www.imdb.com/title/tt0147612/?ref_=fn_tt_tt_1,3000000,3000000,0,0,Philip Seymour Hoffman
DysFunktional Family,http://www.imdb.com/title/tt0337996/?ref_=fn_tt_tt_1,2223990,3000000,-776010,-25.867,Eddie Griffin
Tusk,http://www.imdb.com/title/tt3099498/?ref_=fn_tt_tt_1,1821983,3000000,-1178017,-39.26723333333334,Johnny Depp
Oldboy,http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1,2181290,3000000,-818710,-27.290333333333333,Min-sik Choi
Letters to God,http://www.imdb.com/title/tt1462054/?ref_=fn_tt_tt_1,2848578,3500000,-651422,-18.612057142857143,Robyn Lively
Hobo with a Shotgun,http://www.imdb.com/title/tt1640459/?ref_=fn_tt_tt_1,703002,3000000,-2296998,-76.5666,Gregory Smith
Compadres,http://www.imdb.com/title/tt3367294/?ref_=fn_tt_tt_1,3105269,3000000,105269,3.5089666666666663,Kevin Pollak
Love's Abiding Joy,http://www.imdb.com/title/tt0785025/?ref_=fn_tt_tt_1,252726,3000000,-2747274,-91.5758,William Morgan Sheppard
Bachelorette,http://www.imdb.com/title/tt1920849/?ref_=fn_tt_tt_1,418268,3000000,-2581732,-86.05773333333333,Kirsten Dunst
Tim and Eric's Billion Dollar Movie,http://www.imdb.com/title/tt1855401/?ref_=fn_tt_tt_1,200803,3000000,-2799197,-93.30656666666667,Michael Gross
The Gambler,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,33631221,25000000,8631221,34.524884,George Kennedy
Summer Storm,http://www.imdb.com/title/tt0420206/?ref_=fn_tt_tt_1,95016,2700000,-2604984,-96.4808888888889,Alicja Bachleda
Fort McCoy,http://www.imdb.com/title/tt1282046/?ref_=fn_tt_tt_1,73678,3000000,-2926322,-97.54406666666667,Johnny Pacar
Chain Letter,http://www.imdb.com/title/tt1148200/?ref_=fn_tt_tt_1,143000,5000000,-4857000,-97.14,Matt Cohen
Just Looking,http://www.imdb.com/title/tt0162236/?ref_=fn_tt_tt_1,39852,3000000,-2960148,-98.6716,Gretchen Mol
The Divide,http://www.imdb.com/title/tt1535616/?ref_=fn_tt_tt_1,22000,3000000,-2978000,-99.26666666666667,Michael Biehn
Alice in Wonderland,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,334185206,200000000,134185206,67.092603,Johnny Depp
Tanner Hall,http://www.imdb.com/title/tt1151410/?ref_=fn_tt_tt_1,5005,3000000,-2994995,-99.83316666666666,Tom Everett Scott
Cinderella,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,201148159,95000000,106148159,111.73490421052632,Hayley Atwell
Central Station,http://www.imdb.com/title/tt0140888/?ref_=fn_tt_tt_1,5595428,2900000,2695428,92.94579310344827,Fernanda Montenegro
Boynton Beach Club,http://www.imdb.com/title/tt0439478/?ref_=fn_tt_tt_1,3123749,1500000,1623749,108.24993333333333,Dyan Cannon
Freakonomics,http://www.imdb.com/title/tt1152822/?ref_=fn_tt_tt_1,100675,3000000,-2899325,-96.64416666666666,Greg Crowe
High Tension,http://www.imdb.com/title/tt0338095/?ref_=fn_tt_tt_1,3645438,2200000,1445438,65.70172727272727,CÃŒÂ©cile De France
Hustle & Flow,http://www.imdb.com/title/tt0410097/?ref_=fn_tt_tt_1,22201636,8000000,14201636,177.52045,Isaac Hayes
Some Like It Hot,http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,25000000,2883848,22116152,766.8972844615944,Nehemiah Persoff
Friday the 13th Part VII: The New Blood,http://www.imdb.com/title/tt0095179/?ref_=fn_tt_tt_1,19170001,2800000,16370001,584.6428928571428,Kane Hodder
The Wizard of Oz,http://www.imdb.com/title/tt0032138/?ref_=fn_tt_tt_1,22202612,2800000,19402612,692.9504285714286,Margaret Hamilton
Young Frankenstein,http://www.imdb.com/title/tt0072431/?ref_=fn_tt_tt_1,86300000,2800000,83500000,2982.1428571428573,Madeline Kahn
Diary of the Dead,http://www.imdb.com/title/tt0848557/?ref_=fn_tt_tt_1,952620,2000000,-1047380,-52.369,Megan Park
Ulee's Gold,http://www.imdb.com/title/tt0120402/?ref_=fn_tt_tt_1,9054736,2700000,6354736,235.3605925925926,Peter Fonda
Blazing Saddles,http://www.imdb.com/title/tt0071230/?ref_=fn_tt_tt_1,119500000,2600000,116900000,4496.153846153846,Madeline Kahn
Friday the 13th: The Final Chapter,http://www.imdb.com/title/tt0087298/?ref_=fn_tt_tt_1,32600000,1800000,30800000,1711.111111111111,Judie Aronson
Maurice,http://www.imdb.com/title/tt0093512/?ref_=fn_tt_tt_1,3130592,2600000,530592,20.407384615384615,Rupert Graves
Beer League,http://www.imdb.com/title/tt0453453/?ref_=fn_tt_tt_1,475000,2800000,-2325000,-83.03571428571429,Joe Lo Truglio
The Astronaut's Wife,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,10654581,34000000,-23345419,-68.66299705882352,Johnny Depp
Timecrimes,http://www.imdb.com/title/tt0480669/?ref_=fn_tt_tt_1,38108,2600000,-2561892,-98.53430769230769,Karra Elejalde
A Haunted House,http://www.imdb.com/title/tt2243537/?ref_=fn_tt_tt_1,40041683,2500000,37541683,1501.66732,Essence Atkins
2016: Obama's America,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,33349949,2500000,30849949,1233.99796,Barack Obama
Halloween II,http://www.imdb.com/title/tt1311067/?ref_=fn_tt_tt_1,33386128,15000000,18386128,122.57418666666666,Scout Taylor-Compton
That Thing You Do!,http://www.imdb.com/title/tt0117887/?ref_=fn_tt_tt_1,25809813,26000000,-190187,-0.7314884615384616,Tom Hanks
Halloween III: Season of the Witch,http://www.imdb.com/title/tt0085636/?ref_=fn_tt_tt_1,14400000,2500000,11900000,476,Tom Atkins
Kevin Hart: Let Me Explain,http://www.imdb.com/title/tt2609912/?ref_=fn_tt_tt_1,32230907,2500000,29730907,1189.23628,David Jason Perez
My Own Private Idaho,http://www.imdb.com/title/tt0102494/?ref_=fn_tt_tt_1,6401336,2500000,3901336,156.05344000000002,Keanu Reeves
Garden State,http://www.imdb.com/title/tt0333766/?ref_=fn_tt_tt_1,26781723,2500000,24281723,971.26892,Armando Riesco
Before Sunrise,http://www.imdb.com/title/tt0112471/?ref_=fn_tt_tt_1,5400000,2500000,2900000,115.99999999999999,Hanno PÃŒÂ_schl
